ID,PERMIT#,  PERMIT_TYPE,         ISSUE_DATE,        ESTIMATED_COST,         AMOUNT_WAIVED,   AMOUNT_PAID,    TOTAL_FEE,STREET_NUMBER,STREET DIRECTION,STREET_NAME,  SUFFIX,WORK_DESCRIPTION,   PIN1,   PIN2,  PIN3,  PIN4, PIN5, PIN6, PIN7, PIN8, PIN9,     PIN10,CONTRACTOR_1_TYPE,CONTRACTOR_1_NAME,CONTRACTOR_1_ADDRESS,CONTRACTOR_1_CITY,CONTRACTOR_1_STATE,CONTRACTOR_1_ZIPCODE,CONTRACTOR_1_PHONE,CONTRACTOR_2_TYPE,CONTRACTOR_2_NAME,CONTRACTOR_2_ADDRESS,CONTRACTOR_2_CITY,CONTRACTOR_2_STATE,CONTRACTOR_2_ZIPCODE,CONTRACTOR_2_PHONE,CONTRACTOR_3_TYPE,CONTRACTOR_3_NAME,CONTRACTOR_3_ADDRESS,CONTRACTOR_3_CITY,CONTRACTOR_3_STATE,CONTRACTOR_3_ZIPCODE,CONTRACTOR_3_PHONE,CONTRACTOR_4_TYPE,CONTRACTOR_4_NAME,CONTRACTOR_4_ADDRESS,CONTRACTOR_4_CITY,CONTRACTOR_4_STATE,CONTRACTOR_4_ZIPCODE,CONTRACTOR_4_PHONE,CONTRACTOR_5_TYPE,CONTRACTOR_5_NAME,CONTRACTOR_5_ADDRESS,CONTRACTOR_5_CITY,CONTRACTOR_5_STATE,CONTRACTOR_5_ZIPCODE,CONTRACTOR_5_PHONE,CONTRACTOR_6_TYPE,CONTRACTOR_6_NAME,CONTRACTOR_6_ADDRESS,CONTRACTOR_6_CITY,CONTRACTOR_6_STATE,CONTRACTOR_6_ZIPCODE,CONTRACTOR_6_PHONE,CONTRACTOR_7_TYPE,CONTRACTOR_7_NAME,CONTRACTOR_7_ADDRESS,CONTRACTOR_7_CITY,CONTRACTOR_7_STATE,CONTRACTOR_7_ZIPCODE,CONTRACTOR_7_PHONE,CONTRACTOR_8_TYPE,CONTRACTOR_8_NAME,CONTRACTOR_8_ADDRESS,CONTRACTOR_8_CITY,CONTRACTOR_8_STATE,CONTRACTOR_8_ZIPCODE,CONTRACTOR_8_PHONE,CONTRACTOR_9_TYPE,CONTRACTOR_9_NAME,CONTRACTOR_9_ADDRESS,CONTRACTOR_9_CITY,CONTRACTOR_9_STATE,CONTRACTOR_9_ZIPCODE,CONTRACTOR_9_PHONE,CONTRACTOR_10_TYPE,CONTRACTOR_10_NAME,CONTRACTOR_10_ADDRESS,CONTRACTOR_10_CITY,CONTRACTOR_10_STATE,CONTRACTOR_10_ZIPCODE,CONTRACTOR_10_PHONE,CONTRACTOR_11_TYPE,CONTRACTOR_11_NAME,CONTRACTOR_11_ADDRESS,CONTRACTOR_11_CITY,CONTRACTOR_11_STATE,CONTRACTOR_11_ZIPCODE,CONTRACTOR_11_PHONE,CONTRACTOR_12_TYPE,CONTRACTOR_12_NAME,CONTRACTOR_12_ADDRESS,CONTRACTOR_12_CITY,CONTRACTOR_12_STATE,CONTRACTOR_12_ZIPCODE,CONTRACTOR_12_PHONE,CONTRACTOR_13_TYPE,CONTRACTOR_13_NAME,CONTRACTOR_13_ADDRESS,CONTRACTOR_13_CITY,CONTRACTOR_13_STATE,CONTRACTOR_13_ZIPCODE,CONTRACTOR_13_PHONE,CONTRACTOR_14_TYPE,CONTRACTOR_14_NAME,CONTRACTOR_14_ADDRESS,CONTRACTOR_14_CITY,CONTRACTOR_14_STATE,CONTRACTOR_14_ZIPCODE,CONTRACTOR_14_PHONE,CONTRACTOR_15_TYPE,CONTRACTOR_15_NAME,CONTRACTOR_15_ADDRESS,CONTRACTOR_15_CITY,CONTRACTOR_15_STATE,CONTRACTOR_15_ZIPCODE,CONTRACTOR_15_PHONE,LATITUDE,LONGITUDE,LOCATION
1641076,100088920,PERMIT - NEW CONSTRUCTION,01/11/2006,$10000000.00,$0.00,$37004.70,$37004.70,1003,N,DEARBORN,ST,Phase II of 30 W. Oak St. Construct 10 New Townhomes,17-04-424-056-0000,,,,,,,,,,OWNER,SMITHFIELD PROPERTIES,400 WEST HURON ATTN: ROB BUONO,CHICAGO,IL,60610-,,ARCHITECT,BOOTH LAURENCE OGDEN,,,,,,CONTRACTOR-ELECTRICAL,LELAND ELECTRICAL CONTRACTING,3854 N. LOWELL AVE.,CHICAGO,IL,60641-,(773)491-8613,EXPEDITOR,CHICAGO BUILDING CONSULT SERV,205 W. RANDOLPH ST.,CHICAGO,IL,60606-,(312)368-5166 x,CONTRACTOR-GENERAL CONTRACTOR,"SMITHFIELD CONSTRUCTION GROUP,",400 W. HURON,CHICAGO,IL,60610-,(312)266-9800 x,MASON - BRICK ONLY,"BUKOMEX, INC.",2835 N. KEDZIE AVE. - STE. B,CHICAGO,IL,60618-,(773)267-3200 X,MASON - CONCRETE ONLY,ADJUSTABLE FORMS INC,1 EAST PROGRESS RD.,LOMBARD,IL,60148-,(630)953-8700 X,CONTRACTOR-PLUMBER/PLUMBING,PL058112657-THE PLUMBING COMPA,6903 W. GRAND AVE.,CHICAGO,IL,60707-,(773)804-0900 X,CONTRACTOR-REFRIGERATION,HTH MECH SRVCS,8450 W. 191ST ST,MOKENA,IL,60448-,(708)720-0060 x,CONTRACTOR-VENTILATION,HTH MECH SRVCS,8450 W. 191ST ST,MOKENA,IL,60448-,(708)720-0060 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.900700864,-87.629745926,"(41.90070086433679, -87.62974592586231)"
1654292,100097145,PERMIT - NEW CONSTRUCTION,02/27/2006,$5000.00,$0.00,$240.00,$240.00,8,E,RANDOLPH,ST,TEMPORARY CONSTRUCTION TOWER CRANE MODEL MANITIWOC-POTAIN MD 485,17-10-305-008-0000,17-10-305-009-0000,,,,,,,,,STRUCTURAL ENGINEER,MAST PAUL E,,,,,,CONTRACTOR-GENERAL CONTRACTOR,"SMITHFIELD CONSTRUCTION GROUP,",400 W. HURON,CHICAGO,IL,60610-,(312)266-9800 x,OWNER,ROBERT BUONO,400 W. HURON,CHICAGO,IL,60610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.884601906,-87.627614175,"(41.8846019061405, -87.62761417477049)"
1666248,100104533,PERMIT - RENOVATION/ALTERATION,04/07/2006,$25000.00,$0.00,$2640.00,$2640.00,30,W,OAK,ST,"30 W. OAK ST.REVISION TO PERMIT#100039214 CHANGES TO LANDSCAPE, BASEMENT, FIRST FLOOR LAYOUTS AND CHANGES TO ELECTRICAL SERVICE CONFIGURATION- SELF CERTIFICATION CORRECTIONS",17-04-424-055-1019,17-04-424-055-1020,17-04-424-055-1021,17-04-424-055-1024,17-04-424-055-1023,17-04-424-055-1022,17-04-424-055-1029,17-04-424-055-1028,17-04-424-055-1027,17-04-424-055-1026,OWNER,SMITHFIELD PROPERTIES,400 WEST HURON ATTN: ROB BUONO,CHICAGO,IL,60610-,,ARCHITECT,BOOTH LAURENCE OGDEN,,,,,,CONTRACTOR-REFRIGERATION,ADVANCE MECHANICAL,2080 S CARBOY,MOUNT PROSPECT,IL,60056-,(847)593-2510 x,CONTRACTOR-VENTILATION,ADVANCE MECHANICAL,2080 S CARBOY,MOUNT PROSPECT,IL,60056-,(847)593-2510 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.900687986,-87.629497249,"(41.90068798554529, -87.62949724857376)"
1683710,100114899,PERMIT - NEW CONSTRUCTION,05/25/2006,$1284000.00,$0.00,$5665.90,$5665.90,6046,S,HALSTED,ST,"NEW CONSTRUCTION, ONE STORY RETAIL BUILDING - BUILDING A",,,,,,,,,,,OWNER,SMITHFIELD PROPERTIES,400 WEST HURON ATTN: ROB BUONO,CHICAGO,IL,60610-,,ARCHITECT,BOOTH HANSEN ASSOCIATES,,,,,,CONTRACTOR-ELECTRICAL,MIDWESTERN ELECTRIC CO. INC.,15550 S. KEDZIE AVE.,MARKHAM,IL,60426,(708)333-9841,EXPEDITOR,CHICAGO BUILDING CONSULT SERV,205 W. RANDOLPH ST.,CHICAGO,IL,60606-,(312)368-5166 x,CONTRACTOR-GENERAL CONTRACTOR,"SMITHFIELD CONSTRUCTION GROUP,",400 W. HURON,CHICAGO,IL,60610-,(312)266-9800 x,CONTRACTOR-HEATING,ADVANCED MECH,2080 CARBOY,MT  PRSPCT,IL,60056-,(847)593-2510 x,MASON - CONCRETE ONLY,MARTIN CEMENT COMPANY,25 FORESTWOOD DRIVE,ROMEOVILLE,IL,60446-,(815)886-0400 X,CONTRACTOR-REFRIGERATION,ADVANCED MECH,2080 CARBOY,MT  PRSPCT,IL,60056-,(847)593-2510 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.78378286,-87.645034652,"(41.78378285956872, -87.64503465158272)"
1683714,100114902,PERMIT - NEW CONSTRUCTION,05/25/2006,$1095520.00,$0.00,$5352.55,$5352.55,6018,S,HALSTED,ST,"NEW CONSTRUCTION, ONE STORY RETAIL BUILDING - BUILDING B",20-17-415-023-0000,,,,,,,,,,OWNER,SMITHFIELD PROPERTIES,400 WEST HURON ATTN: ROB BUONO,CHICAGO,IL,60610-,,ARCHITECT,BOOTH HANSEN ASSOCIATES,,,,,,CONTRACTOR-ELECTRICAL,MIDWESTERN ELECTRIC CO. INC.,15550 S. KEDZIE AVE.,MARKHAM,IL,60426,(708)333-9841,EXPEDITOR,CHICAGO BUILDING CONSULT SERV,205 W. RANDOLPH ST.,CHICAGO,IL,60606-,(312)368-5166 x,CONTRACTOR-GENERAL CONTRACTOR,"SMITHFIELD CONSTRUCTION GROUP,",400 W. HURON,CHICAGO,IL,60610-,(312)266-9800 x,CONTRACTOR-HEATING,ADVANCED MECH,2080 CARBOY,MT  PRSPCT,IL,60056-,(847)593-2510 x,MASON - CONCRETE ONLY,MARTIN CEMENT COMPANY,25 FORESTWOOD DRIVE,ROMEOVILLE,IL,60446-,(815)886-0400 X,CONTRACTOR-REFRIGERATION,ADVANCED MECH,2080 CARBOY,MT  PRSPCT,IL,60056-,(847)593-2510 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.784583477,-87.6450532,"(41.78458347704795, -87.64505319951822)"
1683716,100114903,PERMIT - NEW CONSTRUCTION,05/25/2006,$879840.00,$0.00,$4190.65,$4190.65,5955,S,HALSTED,ST,"NEW CONSTRUCTION, ONE STORY RETAIL BUILDING - BUILDING C",,,,,,,,,,,OWNER,SMITHFIELD PROPERTIES,400 WEST HURON ATTN: ROB BUONO,CHICAGO,IL,60610-,,ARCHITECT,BOOTH HANSEN ASSOCIATES,,,,,,CONTRACTOR-ELECTRICAL,MIDWESTERN ELECTRIC CO. INC.,15550 S. KEDZIE AVE.,MARKHAM,IL,60426,(708)333-9841,EXPEDITOR,CHICAGO BUILDING CONSULT SERV,205 W. RANDOLPH ST.,CHICAGO,IL,60606-,(312)368-5166 x,CONTRACTOR-GENERAL CONTRACTOR,"SMITHFIELD CONSTRUCTION GROUP,",400 W. HURON,CHICAGO,IL,60610-,(312)266-9800 x,CONTRACTOR-HEATING,ADVANCED MECH,2080 CARBOY,MT  PRSPCT,IL,60056-,(847)593-2510 x,MASON - CONCRETE ONLY,MARTIN CEMENT COMPANY,25 FORESTWOOD DRIVE,ROMEOVILLE,IL,60446-,(815)886-0400 X,CONTRACTOR-REFRIGERATION,ADVANCED MECH,2080 CARBOY,MT  PRSPCT,IL,60056-,(847)593-2510 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.785509811,-87.644783113,"(41.78550981149172, -87.64478311335286)"
1683718,100114904,PERMIT - NEW CONSTRUCTION,05/25/2006,$888320.00,$0.00,$5137.20,$5137.20,5918,S,HALSTED,ST,"NEW CONSTRUCTION, ONE STORY RETAIL BUILDING - BUILDING E",20-17-407-024-0000,,,,,,,,,,OWNER,SMITHFIELD PROPERTIES,400 WEST HURON ATTN: ROB BUONO,CHICAGO,IL,60610-,,ARCHITECT,BOOTH HANSEN ASSOCIATES,,,,,,CONTRACTOR-ELECTRICAL,MIDWESTERN ELECTRIC CO. INC.,15550 S. KEDZIE AVE.,MARKHAM,IL,60426,(708)333-9841,EXPEDITOR,CHICAGO BUILDING CONSULT SERV,205 W. RANDOLPH ST.,CHICAGO,IL,60606-,(312)368-5166 x,CONTRACTOR-GENERAL CONTRACTOR,"SMITHFIELD CONSTRUCTION GROUP,",400 W. HURON,CHICAGO,IL,60610-,(312)266-9800 x,CONTRACTOR-HEATING,ADVANCED MECH,2080 CARBOY,MT  PRSPCT,IL,60056-,(847)593-2510 x,MASON - CONCRETE ONLY,MARTIN CEMENT COMPANY,25 FORESTWOOD DRIVE,ROMEOVILLE,IL,60446-,(815)886-0400 X,CONTRACTOR-REFRIGERATION,ADVANCED MECH,2080 CARBOY,MT  PRSPCT,IL,60056-,(847)593-2510 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.786424339,-87.645101249,"(41.786424338599474, -87.64510124857124)"
1683720,100114905,PERMIT - NEW CONSTRUCTION,05/25/2006,$977600.00,$0.00,$4055.20,$4055.20,5900,S,HALSTED,ST,"NEW CONSTRUCTION, ONE STORY RETAIL BUILDING - BUILDING F",20-17-407-020-0000,,,,,,,,,,OWNER,SMITHFIELD PROPERTIES,400 WEST HURON ATTN: ROB BUONO,CHICAGO,IL,60610-,,ARCHITECT,BOOTH HANSEN ASSOCIATES,,,,,,CONTRACTOR-ELECTRICAL,MIDWESTERN ELECTRIC CO. INC.,15550 S. KEDZIE AVE.,MARKHAM,IL,60426,(708)333-9841,EXPEDITOR,CHICAGO BUILDING CONSULT SERV,205 W. RANDOLPH ST.,CHICAGO,IL,60606-,(312)368-5166 x,CONTRACTOR-GENERAL CONTRACTOR,"SMITHFIELD CONSTRUCTION GROUP,",400 W. HURON,CHICAGO,IL,60610-,(312)266-9800 x,CONTRACTOR-HEATING,ADVANCED MECH,2080 CARBOY,MT  PRSPCT,IL,60056-,(847)593-2510 x,MASON - CONCRETE ONLY,MARTIN CEMENT COMPANY,25 FORESTWOOD DRIVE,ROMEOVILLE,IL,60446-,(815)886-0400 X,CONTRACTOR-REFRIGERATION,ADVANCED MECH,2080 CARBOY,MT  PRSPCT,IL,60056-,(847)593-2510 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.786931652,-87.64511245,"(41.78693165184713, -87.64511244991048)"
1683721,100114906,PERMIT - NEW CONSTRUCTION,05/25/2006,$703200.00,$0.00,$3660.45,$3660.45,6031,S,HALSTED,ST,"NEW CONSTRUCTION, ONE STORY RETAIL BUILDING - BUILDING G",20-16-308-001-0000,,,,,,,,,,OWNER,SMITHFIELD PROPERTIES,400 WEST HURON ATTN: ROB BUONO,CHICAGO,IL,60610-,,ARCHITECT,BOOTH HANSEN ASSOCIATES,,,,,,CONTRACTOR-ELECTRICAL,MIDWESTERN ELECTRIC CO. INC.,15550 S. KEDZIE AVE.,MARKHAM,IL,60426,(708)333-9841,EXPEDITOR,CHICAGO BUILDING CONSULT SERV,205 W. RANDOLPH ST.,CHICAGO,IL,60606-,(312)368-5166 x,CONTRACTOR-GENERAL CONTRACTOR,"SMITHFIELD CONSTRUCTION GROUP,",400 W. HURON,CHICAGO,IL,60610-,(312)266-9800 x,CONTRACTOR-HEATING,ADVANCED MECH,2080 CARBOY,MT  PRSPCT,IL,60056-,(847)593-2510 x,MASON - CONCRETE ONLY,MARTIN CEMENT COMPANY,25 FORESTWOOD DRIVE,ROMEOVILLE,IL,60446-,(815)886-0400 X,CONTRACTOR-REFRIGERATION,ADVANCED MECH,2080 CARBOY,MT  PRSPCT,IL,60056-,(847)593-2510 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.784144836,-87.64474873,"(41.784144835898964, -87.64474872997398)"
1683722,100114907,PERMIT - NEW CONSTRUCTION,05/25/2006,$2139200.00,$0.00,$9550.60,$9550.60,6001,S,HALSTED,ST,"NEW CONSTRUCTION, ONE STORY RETAIL BUILDING - BUILDING H",,,,,,,,,,,OWNER,SMITHFIELD PROPERTIES,400 WEST HURON ATTN: ROB BUONO,CHICAGO,IL,60610-,,ARCHITECT,BOOTH HANSEN ASSOCIATES,,,,,,CONTRACTOR-ELECTRICAL,MIDWESTERN ELECTRIC CO. INC.,15550 S. KEDZIE AVE.,MARKHAM,IL,60426,(708)333-9841,EXPEDITOR,CHICAGO BUILDING CONSULT SERV,205 W. RANDOLPH ST.,CHICAGO,IL,60606-,(312)368-5166 x,CONTRACTOR-GENERAL CONTRACTOR,"SMITHFIELD CONSTRUCTION GROUP,",400 W. HURON,CHICAGO,IL,60610-,(312)266-9800 x,CONTRACTOR-HEATING,ADVANCED MECH,2080 CARBOY,MT  PRSPCT,IL,60056-,(847)593-2510 x,MASON - CONCRETE ONLY,MARTIN CEMENT COMPANY,25 FORESTWOOD DRIVE,ROMEOVILLE,IL,60446-,(815)886-0400 X,CONTRACTOR-REFRIGERATION,ADVANCED MECH,2080 CARBOY,MT  PRSPCT,IL,60056-,(847)593-2510 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.784998626,-87.644769874,"(41.784998625907704, -87.64476987372765)"
